plaque_immatriculation,origine,destination,date_heure_depart,duree_minutes,economie_co2_kg
VA-2024-003,Sousse Nord,Zone Industrielle,2025-11-23 15:15:25,19,2.17
VA-2024-003,Palais des Congrès,Stade Olympique,2025-11-23 12:03:25,23,0.4
VA-2024-003,Médina,Place Farhat Hached,2025-11-23 08:44:25,16,0.45
VA-2024-003,Port de Sousse,Place Farhat Hached,2025-11-23 10:44:25,14,0.6
VA-2024-003,Gare Ferroviaire,Quartier Khezama,2025-11-23 19:24:25,17,0.34
VA-2024-003,Sousse Sud,Palais des Congrès,2025-11-23 10:33:25,45,2.83
VA-2024-003,Sousse Nord,Gare Ferroviaire,2025-11-23 18:54:25,42,1.72
VA-2024-003,Quartier Khezama,Aéroport Monastir,2025-11-24 16:57:25,18,1.7
VA-2024-003,Zone Industrielle,Place Farhat Hached,2025-11-24 11:36:25,29,1.26
VA-2024-003,Zone Industrielle,Port de Sousse,2025-11-24 06:39:25,24,0.39
VA-2024-003,Port de Sousse,Centre Ville,2025-11-24 07:08:25,13,3.38
VA-2024-003,Aéroport Monastir,Quartier Khezama,2025-11-24 16:08:25,12,2.55
VA-2024-003,Médina,Place Farhat Hached,2025-11-24 10:44:25,49,2.16
VA-2024-003,Sousse Sud,Zone Industrielle,2025-11-24 06:26:25,41,3.1
VA-2024-003,Zone Industrielle,Palais des Congrès,2025-11-24 18:14:25,45,3.55
VA-2024-003,Aéroport Monastir,Quartier Khezama,2025-11-25 06:46:25,18,0.33
VA-2024-003,Gare Ferroviaire,Campus Universitaire,2025-11-25 12:09:25,22,1.32
VA-2024-003,Zone Industrielle,Sousse Nord,2025-11-25 12:13:25,23,0.36
VA-2024-003,Port de Sousse,Quartier Khezama,2025-11-25 16:04:25,40,1.84
VA-2024-003,Sousse Nord,Stade Olympique,2025-11-25 10:11:25,14,2.05
VA-2024-003,Sousse Nord,Port de Sousse,2025-11-25 08:17:25,35,3.72
VA-2024-003,Port de Sousse,Corniche,2025-11-25 12:37:25,24,0.64
VA-2024-003,Palais des Congrès,Quartier Khezama,2025-11-25 21:31:25,18,2.91
VA-2024-003,Campus Universitaire,Port de Sousse,2025-11-25 08:44:25,49,0.56
VA-2024-003,Zone Industrielle,Aéroport Monastir,2025-11-25 22:43:25,17,2.15
VA-2024-003,Corniche,Campus Universitaire,2025-11-26 11:04:25,10,3.44
VA-2024-003,Zone Industrielle,Place Farhat Hached,2025-11-26 07:00:25,21,0.25
VA-2024-003,Port de Sousse,Palais des Congrès,2025-11-26 14:19:25,34,0.97
VA-2024-003,Stade Olympique,Corniche,2025-11-26 19:33:25,47,1.99
VA-2024-003,Stade Olympique,Zone Industrielle,2025-11-26 20:56:25,21,3.14
VA-2024-003,Sousse Sud,Campus Universitaire,2025-11-26 22:23:25,24,2.55
VA-2024-003,Gare Ferroviaire,Aéroport Monastir,2025-11-27 12:47:25,42,3.75
VA-2024-003,Médina,Sousse Nord,2025-11-27 09:39:25,26,1.43
VA-2024-003,Stade Olympique,Campus Universitaire,2025-11-27 17:01:25,44,2.46
VA-2024-003,Stade Olympique,Port de Sousse,2025-11-27 06:38:25,31,3.06
VA-2024-003,Port de Sousse,Place Farhat Hached,2025-11-27 15:55:25,11,2.48
VA-2024-003,Place Farhat Hached,Aéroport Monastir,2025-11-27 19:21:25,16,2.48
VA-2024-003,Zone Industrielle,Quartier Khezama,2025-11-27 06:33:25,43,4.17
VA-2024-003,Centre Ville,Stade Olympique,2025-11-27 07:05:25,11,3.06
VA-2024-003,Centre Ville,Gare Ferroviaire,2025-11-27 08:18:25,39,1.59
VA-2024-003,Quartier Khezama,Médina,2025-11-28 16:14:25,14,3.13
VA-2024-003,Médina,Campus Universitaire,2025-11-28 21:03:25,35,2.95
VA-2024-003,Centre Ville,Médina,2025-11-28 09:11:25,35,3.36
VA-2024-003,Centre Ville,Gare Ferroviaire,2025-11-28 09:14:25,21,1.9
VA-2024-003,Palais des Congrès,Stade Olympique,2025-11-28 16:25:25,11,2.2
VA-2024-003,Campus Universitaire,Stade Olympique,2025-11-28 12:54:25,22,1.55
VA-2024-003,Aéroport Monastir,Stade Olympique,2025-11-28 08:07:25,47,2.37
VA-2024-003,Hôpital Universitaire,Quartier Khezama,2025-11-28 16:09:25,37,1.61
VA-2024-003,Médina,Gare Ferroviaire,2025-11-29 10:18:25,16,2.96
VA-2024-003,Campus Universitaire,Port de Sousse,2025-11-29 13:24:25,17,1.61
VA-2024-003,Place Farhat Hached,Hôpital Universitaire,2025-11-29 08:49:25,19,0.58
VA-2024-003,Place Farhat Hached,Hôpital Universitaire,2025-11-29 07:48:25,11,0.27
VA-2024-003,Sousse Sud,Hôpital Universitaire,2025-11-29 21:26:25,38,2.77
VA-2024-003,Sousse Sud,Campus Universitaire,2025-11-29 06:50:25,32,2.01
VA-2024-003,Quartier Khezama,Sousse Sud,2025-11-29 17:33:25,17,0.75
VA-2024-003,Quartier Khezama,Stade Olympique,2025-11-29 17:54:25,19,3.43
VA-2024-003,Hôpital Universitaire,Port de Sousse,2025-11-29 16:08:25,32,1.68
VA-2024-003,Sousse Sud,Hôpital Universitaire,2025-11-29 13:48:25,50,1.61
VA-2024-003,Palais des Congrès,Quartier Khezama,2025-11-29 14:13:25,50,2.2
VA-2024-003,Quartier Khezama,Sousse Sud,2025-11-29 08:43:25,19,1.9
VA-2024-003,Hôpital Universitaire,Gare Ferroviaire,2025-11-30 08:08:25,39,1.57
VA-2024-003,Place Farhat Hached,Palais des Congrès,2025-11-30 18:08:25,30,1.6
VA-2024-003,Palais des Congrès,Aéroport Monastir,2025-11-30 14:36:25,19,0.77
VA-2024-003,Palais des Congrès,Place Farhat Hached,2025-11-30 16:43:25,28,2.55
VA-2024-003,Palais des Congrès,Médina,2025-11-30 18:32:25,32,1.59
VA-2024-003,Place Farhat Hached,Corniche,2025-12-01 21:24:25,19,1.14
VA-2024-003,Campus Universitaire,Zone Industrielle,2025-12-01 09:20:25,40,2.16
VA-2024-003,Zone Industrielle,Campus Universitaire,2025-12-01 19:11:25,17,3.53
VA-2024-003,Hôpital Universitaire,Stade Olympique,2025-12-01 09:30:25,30,0.24
VA-2024-003,Place Farhat Hached,Centre Ville,2025-12-01 18:24:25,29,0.72
VA-2024-003,Hôpital Universitaire,Sousse Sud,2025-12-01 11:55:25,10,0.23
VA-2024-003,Stade Olympique,Zone Industrielle,2025-12-01 06:53:25,23,1.69
VA-2024-003,Stade Olympique,Aéroport Monastir,2025-12-02 22:10:25,40,2.16
VA-2024-003,Quartier Khezama,Corniche,2025-12-02 15:06:25,27,0.81
VA-2024-003,Palais des Congrès,Quartier Khezama,2025-12-02 12:30:25,47,0.27
VA-2024-003,Stade Olympique,Zone Industrielle,2025-12-02 21:15:25,37,3.93
VA-2024-003,Centre Ville,Médina,2025-12-02 22:30:25,18,1.99
VA-2024-003,Hôpital Universitaire,Stade Olympique,2025-12-02 21:31:25,39,1.44
VA-2024-003,Aéroport Monastir,Gare Ferroviaire,2025-12-02 14:25:25,47,3.24
VA-2024-003,Médina,Quartier Khezama,2025-12-02 14:23:25,50,0.93
VA-2024-003,Aéroport Monastir,Sousse Sud,2025-12-02 08:34:25,19,2.46
VA-2024-003,Gare Ferroviaire,Stade Olympique,2025-12-02 15:57:25,27,2.88
VA-2024-003,Stade Olympique,Hôpital Universitaire,2025-12-02 19:13:25,21,4.2
VA-2024-003,Port de Sousse,Sousse Sud,2025-12-02 18:36:25,28,1.12
VA-2024-003,Sousse Sud,Campus Universitaire,2025-12-03 19:07:25,49,2.5
VA-2024-003,Palais des Congrès,Quartier Khezama,2025-12-03 19:56:25,36,0.78
VA-2024-003,Campus Universitaire,Corniche,2025-12-03 15:35:25,21,2.2
VA-2024-003,Campus Universitaire,Centre Ville,2025-12-03 12:45:25,36,2.6
VA-2024-003,Hôpital Universitaire,Quartier Khezama,2025-12-03 12:18:25,50,2.61
VA-2024-003,Aéroport Monastir,Port de Sousse,2025-12-03 15:02:25,13,4.0
VA-2024-003,Zone Industrielle,Hôpital Universitaire,2025-12-03 22:08:25,42,3.12
VA-2024-003,Centre Ville,Place Farhat Hached,2025-12-03 18:33:25,47,3.02
VA-2024-003,Stade Olympique,Gare Ferroviaire,2025-12-03 18:16:25,32,2.24
VA-2024-003,Place Farhat Hached,Aéroport Monastir,2025-12-03 17:43:25,17,1.72
VA-2024-003,Sousse Nord,Aéroport Monastir,2025-12-03 13:28:25,39,1.1
VA-2024-003,Quartier Khezama,Aéroport Monastir,2025-12-04 11:28:25,14,1.54
VA-2024-003,Zone Industrielle,Stade Olympique,2025-12-04 17:12:25,42,0.87
VA-2024-003,Sousse Sud,Centre Ville,2025-12-04 14:55:25,11,2.48
VA-2024-003,Corniche,Sousse Sud,2025-12-04 07:52:25,49,2.96
VA-2024-003,Aéroport Monastir,Stade Olympique,2025-12-04 19:48:25,33,0.9
VA-2024-003,Gare Ferroviaire,Quartier Khezama,2025-12-04 18:40:25,30,3.35
VA-2024-003,Centre Ville,Médina,2025-12-04 12:23:25,31,1.23
VA-2024-003,Campus Universitaire,Corniche,2025-12-04 22:33:25,37,0.49
VA-2024-003,Port de Sousse,Palais des Congrès,2025-12-04 13:52:25,24,2.81
VA-2024-003,Gare Ferroviaire,Campus Universitaire,2025-12-04 09:15:25,17,2.61
VA-2024-003,Aéroport Monastir,Zone Industrielle,2025-12-05 21:26:25,22,2.11
VA-2024-003,Médina,Aéroport Monastir,2025-12-05 14:39:25,34,0.3
VA-2024-003,Place Farhat Hached,Corniche,2025-12-05 12:59:25,19,0.69
VA-2024-003,Centre Ville,Palais des Congrès,2025-12-05 17:35:25,13,2.51
VA-2024-003,Port de Sousse,Campus Universitaire,2025-12-05 20:53:25,18,1.45
VA-2024-003,Zone Industrielle,Palais des Congrès,2025-12-05 22:21:25,48,2.16
VA-2024-003,Campus Universitaire,Hôpital Universitaire,2025-12-06 10:40:25,16,3.43
VA-2024-003,Quartier Khezama,Médina,2025-12-06 15:44:25,23,0.91
VA-2024-003,Stade Olympique,Zone Industrielle,2025-12-06 20:55:25,21,2.41
VA-2024-003,Corniche,Port de Sousse,2025-12-06 07:06:25,20,3.06
VA-2024-003,Aéroport Monastir,Corniche,2025-12-06 15:10:25,26,1.12
VA-2024-003,Quartier Khezama,Corniche,2025-12-06 14:41:25,29,0.83
VA-2024-003,Zone Industrielle,Médina,2025-12-06 22:18:25,40,2.29
VA-2024-003,Gare Ferroviaire,Zone Industrielle,2025-12-07 13:15:25,13,0.46
VA-2024-003,Port de Sousse,Sousse Sud,2025-12-07 17:23:25,14,2.64
VA-2024-003,Sousse Nord,Stade Olympique,2025-12-07 20:48:25,13,0.98
VA-2024-003,Port de Sousse,Quartier Khezama,2025-12-07 11:35:25,26,1.81
VA-2024-003,Corniche,Zone Industrielle,2025-12-07 19:44:25,16,2.79
VA-2024-003,Sousse Sud,Hôpital Universitaire,2025-12-07 17:05:25,34,1.2
VA-2024-003,Médina,Place Farhat Hached,2025-12-07 12:07:25,31,1.44
VA-2024-003,Sousse Nord,Palais des Congrès,2025-12-07 15:39:25,16,0.72
VA-2024-003,Aéroport Monastir,Stade Olympique,2025-12-08 12:56:25,19,0.67
VA-2024-003,Zone Industrielle,Sousse Sud,2025-12-08 14:01:25,25,1.14
VA-2024-003,Centre Ville,Corniche,2025-12-08 14:06:25,18,0.39
VA-2024-003,Sousse Nord,Aéroport Monastir,2025-12-08 20:17:25,28,1.82
VA-2024-003,Sousse Sud,Corniche,2025-12-08 08:29:25,25,1.83
VA-2024-003,Médina,Corniche,2025-12-08 15:24:25,20,1.4
VA-2024-003,Hôpital Universitaire,Zone Industrielle,2025-12-08 07:55:25,45,1.55
VA-2024-003,Quartier Khezama,Aéroport Monastir,2025-12-08 13:27:25,50,2.78
VA-2024-003,Port de Sousse,Sousse Nord,2025-12-08 11:45:25,26,0.74
VA-2024-003,Palais des Congrès,Port de Sousse,2025-12-08 07:32:25,49,3.33
VA-2024-003,Zone Industrielle,Campus Universitaire,2025-12-09 08:20:25,17,0.27
VA-2024-003,Palais des Congrès,Sousse Nord,2025-12-09 11:14:25,45,0.68
VA-2024-003,Gare Ferroviaire,Zone Industrielle,2025-12-09 18:53:25,50,2.8
VA-2024-003,Quartier Khezama,Hôpital Universitaire,2025-12-09 09:28:25,11,1.93
VA-2024-003,Sousse Sud,Médina,2025-12-09 08:58:25,43,0.24
VA-2024-003,Corniche,Aéroport Monastir,2025-12-09 06:15:25,16,1.48
VA-2024-003,Hôpital Universitaire,Gare Ferroviaire,2025-12-10 08:11:25,44,3.47
VA-2024-003,Aéroport Monastir,Corniche,2025-12-10 07:52:25,50,3.91
VA-2024-003,Quartier Khezama,Centre Ville,2025-12-10 19:09:25,28,2.62
VA-2024-003,Sousse Sud,Palais des Congrès,2025-12-10 14:54:25,48,2.33
VA-2024-003,Hôpital Universitaire,Place Farhat Hached,2025-12-10 14:02:25,21,0.45
VA-2024-003,Aéroport Monastir,Sousse Sud,2025-12-10 15:36:25,34,1.06
VA-2024-003,Zone Industrielle,Place Farhat Hached,2025-12-10 11:08:25,38,2.65
VA-2024-003,Palais des Congrès,Gare Ferroviaire,2025-12-10 21:23:25,30,0.32
VA-2024-003,Stade Olympique,Quartier Khezama,2025-12-11 10:12:25,18,0.29
VA-2024-003,Place Farhat Hached,Palais des Congrès,2025-12-11 06:56:25,35,1.15
VA-2024-003,Place Farhat Hached,Campus Universitaire,2025-12-11 14:31:25,14,0.33
VA-2024-003,Palais des Congrès,Stade Olympique,2025-12-11 11:53:25,34,3.9
VA-2024-003,Place Farhat Hached,Corniche,2025-12-11 15:22:25,45,1.52
VA-2024-003,Stade Olympique,Zone Industrielle,2025-12-11 06:05:25,39,1.55
VA-2024-003,Stade Olympique,Palais des Congrès,2025-12-11 10:39:25,49,2.37
VA-2024-003,Médina,Sousse Nord,2025-12-11 13:58:25,38,1.19
VA-2024-003,Sousse Nord,Palais des Congrès,2025-12-11 12:25:25,47,1.02
VA-2024-003,Campus Universitaire,Port de Sousse,2025-12-11 10:54:25,38,1.01
VA-2024-003,Palais des Congrès,Hôpital Universitaire,2025-12-11 15:49:25,37,2.46
VA-2024-003,Aéroport Monastir,Sousse Sud,2025-12-11 19:56:25,36,2.83
VA-2024-003,Zone Industrielle,Hôpital Universitaire,2025-12-12 14:09:25,43,0.5
VA-2024-003,Sousse Sud,Médina,2025-12-12 20:20:25,48,3.38
VA-2024-003,Palais des Congrès,Quartier Khezama,2025-12-12 08:25:25,22,3.22
VA-2024-003,Centre Ville,Aéroport Monastir,2025-12-12 08:47:25,22,2.74
VA-2024-003,Sousse Nord,Centre Ville,2025-12-12 06:46:25,24,0.71
VA-2024-003,Sousse Sud,Sousse Nord,2025-12-12 20:02:25,31,2.44
VA-2024-003,Aéroport Monastir,Quartier Khezama,2025-12-13 11:28:25,35,0.25
VA-2024-003,Sousse Sud,Médina,2025-12-13 07:50:25,15,1.68
VA-2024-003,Hôpital Universitaire,Aéroport Monastir,2025-12-13 19:22:25,43,2.85
VA-2024-003,Quartier Khezama,Campus Universitaire,2025-12-13 11:13:25,37,3.87
VA-2024-003,Palais des Congrès,Sousse Sud,2025-12-13 13:53:25,30,1.38
VA-2024-003,Place Farhat Hached,Médina,2025-12-13 20:35:25,13,2.93
VA-2024-004,Corniche,Gare Ferroviaire,2025-11-13 14:46:25,12,1.9
VA-2024-004,Port de Sousse,Gare Ferroviaire,2025-11-13 22:27:25,19,1.37
VA-2024-004,Zone Industrielle,Sousse Sud,2025-11-13 08:11:25,34,0.63
VA-2024-004,Quartier Khezama,Zone Industrielle,2025-11-13 07:29:25,40,0.36
VA-2024-004,Campus Universitaire,Aéroport Monastir,2025-11-13 12:33:25,37,1.1
VA-2024-004,Campus Universitaire,Port de Sousse,2025-11-13 18:06:25,22,1.03
VA-2024-004,Gare Ferroviaire,Centre Ville,2025-11-13 20:34:25,11,2.83
VA-2024-004,Sousse Nord,Hôpital Universitaire,2025-11-14 21:41:25,33,1.65
VA-2024-004,Stade Olympique,Sousse Nord,2025-11-14 13:57:25,24,0.5
VA-2024-004,Gare Ferroviaire,Place Farhat Hached,2025-11-14 06:00:25,46,1.31
VA-2024-004,Aéroport Monastir,Palais des Congrès,2025-11-14 22:28:25,27,2.31
VA-2024-004,Palais des Congrès,Port de Sousse,2025-11-14 15:49:25,46,0.93
VA-2024-004,Port de Sousse,Place Farhat Hached,2025-11-14 16:42:25,14,1.66
VA-2024-004,Sousse Nord,Centre Ville,2025-11-15 22:46:25,21,2.07
VA-2024-004,Centre Ville,Zone Industrielle,2025-11-15 20:36:25,38,0.8
VA-2024-004,Sousse Sud,Hôpital Universitaire,2025-11-15 15:27:25,30,1.03
VA-2024-004,Port de Sousse,Sousse Nord,2025-11-15 10:56:25,13,2.8
VA-2024-004,Hôpital Universitaire,Palais des Congrès,2025-11-15 21:18:25,49,2.44
VA-2024-004,Sousse Sud,Corniche,2025-11-15 12:01:25,11,3.17
VA-2024-004,Campus Universitaire,Centre Ville,2025-11-16 18:03:25,40,2.41
VA-2024-004,Stade Olympique,Gare Ferroviaire,2025-11-16 09:56:25,16,0.51
VA-2024-004,Stade Olympique,Place Farhat Hached,2025-11-16 18:20:25,49,1.25
VA-2024-004,Aéroport Monastir,Centre Ville,2025-11-16 16:13:25,24,1.21
VA-2024-004,Corniche,Palais des Congrès,2025-11-16 22:39:25,33,2.68
VA-2024-004,Zone Industrielle,Sousse Nord,2025-11-16 06:38:25,19,3.95
VA-2024-004,Sousse Nord,Zone Industrielle,2025-11-16 13:42:25,41,2.59
VA-2024-004,Centre Ville,Zone Industrielle,2025-11-16 09:58:25,35,2.25
VA-2024-004,Corniche,Médina,2025-11-16 21:24:25,38,2.03
VA-2024-004,Stade Olympique,Place Farhat Hached,2025-11-16 18:07:25,34,2.49
VA-2024-004,Sousse Nord,Zone Industrielle,2025-11-16 20:28:25,38,3.68
VA-2024-004,Zone Industrielle,Campus Universitaire,2025-11-16 19:36:25,40,3.73
VA-2024-004,Palais des Congrès,Port de Sousse,2025-11-17 07:17:25,26,0.96
VA-2024-004,Palais des Congrès,Hôpital Universitaire,2025-11-17 10:35:25,39,2.24
VA-2024-004,Sousse Sud,Port de Sousse,2025-11-17 18:58:25,37,3.4
VA-2024-004,Sousse Nord,Sousse Sud,2025-11-17 13:57:25,48,1.42
VA-2024-004,Port de Sousse,Stade Olympique,2025-11-17 09:54:25,48,2.46
VA-2024-004,Stade Olympique,Campus Universitaire,2025-11-17 19:06:25,18,0.36
VA-2024-004,Corniche,Aéroport Monastir,2025-11-17 16:28:25,47,2.37
VA-2024-004,Stade Olympique,Gare Ferroviaire,2025-11-18 08:56:25,17,0.54
VA-2024-004,Palais des Congrès,Centre Ville,2025-11-18 09:08:25,37,1.04
VA-2024-004,Médina,Stade Olympique,2025-11-18 11:05:25,30,0.93
VA-2024-004,Port de Sousse,Zone Industrielle,2025-11-18 19:48:25,18,3.14
VA-2024-004,Stade Olympique,Gare Ferroviaire,2025-11-18 18:44:25,29,1.04
VA-2024-004,Hôpital Universitaire,Centre Ville,2025-11-18 06:03:25,22,2.02
VA-2024-004,Palais des Congrès,Stade Olympique,2025-11-18 15:11:25,11,1.19
VA-2024-004,Quartier Khezama,Gare Ferroviaire,2025-11-18 12:41:25,42,2.13
VA-2024-004,Stade Olympique,Port de Sousse,2025-11-18 12:05:25,49,2.33
VA-2024-004,Port de Sousse,Corniche,2025-11-18 10:08:25,40,2.96
VA-2024-004,Campus Universitaire,Quartier Khezama,2025-11-18 14:30:25,34,2.5
VA-2024-004,Sousse Sud,Sousse Nord,2025-11-19 16:38:25,22,3.33
VA-2024-004,Zone Industrielle,Sousse Nord,2025-11-19 21:11:25,38,0.84
VA-2024-004,Hôpital Universitaire,Zone Industrielle,2025-11-19 12:38:25,31,3.65
VA-2024-004,Zone Industrielle,Médina,2025-11-19 15:00:25,42,3.28
VA-2024-004,Hôpital Universitaire,Stade Olympique,2025-11-19 08:43:25,41,2.99
VA-2024-004,Sousse Nord,Palais des Congrès,2025-11-20 06:37:25,45,1.94
VA-2024-004,Port de Sousse,Sousse Sud,2025-11-20 18:13:25,42,0.7
VA-2024-004,Place Farhat Hached,Campus Universitaire,2025-11-20 10:48:25,15,3.48
VA-2024-004,Gare Ferroviaire,Palais des Congrès,2025-11-20 11:33:25,38,0.4
VA-2024-004,Aéroport Monastir,Campus Universitaire,2025-11-20 17:25:25,14,2.58
VA-2024-004,Sousse Sud,Quartier Khezama,2025-11-20 09:51:25,34,2.78
VA-2024-004,Campus Universitaire,Médina,2025-11-20 15:20:25,19,2.7
VA-2024-004,Corniche,Quartier Khezama,2025-11-20 19:19:25,38,1.37
VA-2024-004,Stade Olympique,Centre Ville,2025-11-20 19:52:25,41,3.54
VA-2024-004,Corniche,Zone Industrielle,2025-11-20 14:14:25,30,2.86
VA-2024-004,Campus Universitaire,Port de Sousse,2025-11-21 21:40:25,18,3.51
VA-2024-004,Corniche,Campus Universitaire,2025-11-21 18:19:25,14,1.49
VA-2024-004,Campus Universitaire,Place Farhat Hached,2025-11-21 07:56:25,15,2.71
VA-2024-004,Port de Sousse,Aéroport Monastir,2025-11-21 07:07:25,12,2.44
VA-2024-004,Hôpital Universitaire,Médina,2025-11-21 16:32:25,43,3.41
VA-2024-004,Centre Ville,Palais des Congrès,2025-11-21 21:49:25,25,0.68
VA-2024-004,Port de Sousse,Gare Ferroviaire,2025-11-21 11:41:25,11,0.76
VA-2024-004,Aéroport Monastir,Zone Industrielle,2025-11-21 12:31:25,28,1.45
VA-2024-004,Gare Ferroviaire,Stade Olympique,2025-11-21 16:23:25,18,2.52
VA-2024-004,Stade Olympique,Quartier Khezama,2025-11-21 15:30:25,50,2.84
VA-2024-004,Quartier Khezama,Aéroport Monastir,2025-11-22 14:51:25,17,2.83
VA-2024-004,Sousse Nord,Corniche,2025-11-22 15:11:25,14,1.12
VA-2024-004,Place Farhat Hached,Médina,2025-11-22 07:43:25,16,3.69
VA-2024-004,Sousse Nord,Sousse Sud,2025-11-22 16:14:25,28,1.59
VA-2024-004,Médina,Stade Olympique,2025-11-22 12:12:25,42,1.82
VA-2024-004,Palais des Congrès,Campus Universitaire,2025-11-22 18:58:25,35,3.34
VA-2024-004,Place Farhat Hached,Sousse Nord,2025-11-22 20:29:25,13,2.03
VA-2024-004,Stade Olympique,Gare Ferroviaire,2025-11-22 14:56:25,19,1.86
VA-2024-004,Zone Industrielle,Hôpital Universitaire,2025-11-22 15:42:25,40,2.86
VA-2024-004,Corniche,Place Farhat Hached,2025-11-22 14:24:25,49,3.23
VA-2024-004,Port de Sousse,Place Farhat Hached,2025-11-22 20:00:25,19,0.76
VA-2024-004,Corniche,Place Farhat Hached,2025-11-23 08:17:25,19,2.22
VA-2024-004,Palais des Congrès,Corniche,2025-11-23 14:33:25,23,2.51
VA-2024-004,Campus Universitaire,Aéroport Monastir,2025-11-23 21:48:25,27,1.32
VA-2024-004,Hôpital Universitaire,Sousse Sud,2025-11-23 11:45:25,16,1.76
VA-2024-004,Place Farhat Hached,Stade Olympique,2025-11-23 10:07:25,44,2.21
VA-2024-004,Corniche,Place Farhat Hached,2025-11-23 07:30:25,44,4.4
VA-2024-004,Centre Ville,Médina,2025-11-23 06:23:25,28,0.81
VA-2024-004,Port de Sousse,Centre Ville,2025-11-23 15:57:25,25,0.73
VA-2024-004,Hôpital Universitaire,Aéroport Monastir,2025-11-23 20:21:25,23,0.55
VA-2024-004,Centre Ville,Port de Sousse,2025-11-23 16:56:25,27,2.61
VA-2024-004,Zone Industrielle,Gare Ferroviaire,2025-11-23 14:34:25,25,3.27
VA-2024-004,Gare Ferroviaire,Hôpital Universitaire,2025-11-23 22:41:25,19,3.32
VA-2024-004,Port de Sousse,Hôpital Universitaire,2025-11-24 19:26:25,46,0.66
VA-2024-004,Palais des Congrès,Campus Universitaire,2025-11-24 13:05:25,18,2.5
VA-2024-004,Stade Olympique,Corniche,2025-11-24 17:34:25,18,2.42
VA-2024-004,Port de Sousse,Place Farhat Hached,2025-11-24 12:46:25,10,2.64
VA-2024-004,Quartier Khezama,Médina,2025-11-24 14:32:25,26,3.34
VA-2024-004,Campus Universitaire,Zone Industrielle,2025-11-24 16:45:25,45,2.81
VA-2024-004,Palais des Congrès,Quartier Khezama,2025-11-24 11:03:25,18,2.13
VA-2024-004,Port de Sousse,Corniche,2025-11-24 06:09:25,50,3.2
VA-2024-004,Place Farhat Hached,Corniche,2025-11-24 22:39:25,23,1.05
VA-2024-004,Palais des Congrès,Campus Universitaire,2025-11-24 22:44:25,18,3.14
VA-2024-004,Sousse Sud,Sousse Nord,2025-11-25 11:46:25,14,3.11
VA-2024-004,Palais des Congrès,Aéroport Monastir,2025-11-25 06:15:25,41,1.93
VA-2024-004,Aéroport Monastir,Gare Ferroviaire,2025-11-25 19:35:25,25,3.56
VA-2024-004,Corniche,Stade Olympique,2025-11-25 09:41:25,35,3.02
VA-2024-004,Hôpital Universitaire,Stade Olympique,2025-11-25 07:19:25,38,0.64
VA-2024-004,Aéroport Monastir,Stade Olympique,2025-11-25 22:33:25,10,0.35
VA-2024-004,Corniche,Sousse Sud,2025-11-25 17:09:25,33,1.29
VA-2024-004,Zone Industrielle,Corniche,2025-11-26 12:47:25,43,3.91
VA-2024-004,Campus Universitaire,Sousse Nord,2025-11-26 19:58:25,12,0.4
VA-2024-004,Aéroport Monastir,Corniche,2025-11-26 07:26:25,22,1.95
VA-2024-004,Sousse Sud,Sousse Nord,2025-11-26 07:24:25,19,2.39
VA-2024-004,Campus Universitaire,Sousse Nord,2025-11-26 10:27:25,33,2.42
VA-2024-004,Sousse Nord,Centre Ville,2025-11-26 08:24:25,43,2.59
VA-2024-004,Stade Olympique,Sousse Nord,2025-11-26 11:05:25,18,1.71
VA-2024-004,Aéroport Monastir,Médina,2025-11-26 19:52:25,25,0.62
VA-2024-004,Stade Olympique,Port de Sousse,2025-11-26 11:00:25,44,0.8
VA-2024-004,Quartier Khezama,Gare Ferroviaire,2025-11-26 10:07:25,15,0.8
VA-2024-004,Gare Ferroviaire,Campus Universitaire,2025-11-26 16:43:25,36,1.78
VA-2024-004,Aéroport Monastir,Sousse Sud,2025-11-26 21:37:25,27,2.49
VA-2024-004,Hôpital Universitaire,Gare Ferroviaire,2025-11-27 11:16:25,33,1.65
VA-2024-004,Gare Ferroviaire,Médina,2025-11-27 07:58:25,21,2.12
VA-2024-004,Stade Olympique,Corniche,2025-11-27 14:21:25,46,2.94
VA-2024-004,Palais des Congrès,Place Farhat Hached,2025-11-27 08:01:25,29,2.64
VA-2024-004,Gare Ferroviaire,Zone Industrielle,2025-11-27 17:24:25,33,0.86
VA-2024-004,Place Farhat Hached,Sousse Sud,2025-11-27 09:31:25,32,3.1
VA-2024-004,Gare Ferroviaire,Corniche,2025-11-27 22:47:25,37,2.05
VA-2024-004,Palais des Congrès,Gare Ferroviaire,2025-11-28 17:49:25,47,1.61
VA-2024-004,Palais des Congrès,Sousse Sud,2025-11-28 08:01:25,34,2.81
VA-2024-004,Port de Sousse,Gare Ferroviaire,2025-11-28 12:04:25,29,3.37
VA-2024-004,Corniche,Centre Ville,2025-11-28 14:01:25,43,2.98
VA-2024-004,Place Farhat Hached,Corniche,2025-11-28 17:50:25,21,1.94
VA-2024-004,Gare Ferroviaire,Zone Industrielle,2025-11-28 11:54:25,35,0.82
VA-2024-004,Hôpital Universitaire,Corniche,2025-11-28 11:16:25,18,0.46
VA-2024-004,Sousse Nord,Hôpital Universitaire,2025-11-28 09:07:25,46,2.34
VA-2024-004,Stade Olympique,Zone Industrielle,2025-11-28 07:28:25,25,1.07
VA-2024-004,Hôpital Universitaire,Quartier Khezama,2025-11-28 19:55:25,13,1.66
